search URL:,https://patents.google.com/?q=%28%28AB%253d%28%22carbon+capture%22%29+OR+AB%253d%28%22carbon+dioxide%2Acapture%22%29+OR+AB%253d%28%22carbon+dioxide%2Atrap%2A%22%29+OR+AB%253d%28%22CO2+capture%22%29+OR+AB%253d%28%22carbon%2Aseparat%2A%22%29+OR+AB%253d%28%22CO2+separat%2A%22%29+OR+AB%253d%28%22captur%2A+carbon+dioxide%22%29+OR+AB%253d%28%22captur%2A+CO2%22%29+OR+AB%253d%28%22separat%2A+carbon+dioxide%22%29+OR+AB%253d%28%22absorb%2A+carbon+dioxide%22%29+OR+AB%253d%28%22compress%2A+carbon+dioxide%22%29+OR+AB%253d%28%22carbon%2Aabsor%2A%22%29+OR+AB%253d%28%22CO2+absor%2A%22%29+OR+AB%253d%28%22carbon%2Acompress%2A%22%29+OR+AB%253d%28%22CO2+compress%2A%22%29+OR+%28%28AB%253d%28%22solvent+regenerat%2A%22%29+OR+AB%253d%28%22solvent+recover%2A%22%29%29+AND+AB%253d%28%22carbon%22%29%29%29++OR++%28TI%253d%28%22carbon+capture%22%29+OR+TI%253d%28%22carbon+dioxide%2Acapture%22%29+OR+TI%253d%28%22carbon+dioxide%2Atrap%2A%22%29+OR+TI%253d%28%22CO2+capture%22%29+OR+TI%253d%28%22carbon%2Aseparat%2A%22%29+OR+TI%253d%28%22CO2+separat%2A%22%29+OR+TI%253d%28%22captur%2A+carbon+dioxide%22%29+OR+TI%253d%28%22captur%2A+CO2%22%29+OR+TI%253d%28%22separat%2A+carbon+dioxide%22%29+OR+TI%253d%28%22absorb%2A+carbon+dioxide%22%29+OR+TI%253d%28%22compress%2A+carbon+dioxide%22%29+OR+TI%253d%28%22carbon%2Aabsor%2A%22%29+OR+TI%253d%28%22CO2+absor%2A%22%29+OR+TI%253d%28%22carbon%2Acompress%2A%22%29+OR+TI%253d%28%22CO2+compress%2A%22%29+OR+%28%28TI%253d%28%22solvent+regenerat%2A%22%29+OR+TI%253d%28%22solvent+recover%2A%22%29%29+AND+TI%253d%28%22carbon%22%29%29%29%29&before=priority:20160101&after=priority:19800101&status=GRANT&type=PATENT&language=ENGLISH&dups=language&num=100
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
CN-102500191-B,Method and device for capturing CO2 from flue gas of circulating fluidized bed electric power plant ,中国科学院山西煤炭化学研究所,"魏伟, 李磊, 肖福魁, 闻霞, 李勇",2011-11-05,2011-11-05,2013-10-30,2013-10-30,https://patents.google.com/patent/CN102500191B/en,https://patentimages.storage.googleapis.com/a6/75/44/4d02d348b131c3/HSA00000608738100011.png
EP-2013615-B1,Co2 absorption device for elemental analysis instruments ,Thermo Fisher Scientific S.p.A,"Paolo Magni, Martino Villa, Giacinto Zilioli",2006-04-21,2006-09-05,2016-03-16,2016-03-16,https://patents.google.com/patent/EP2013615B1/en,https://patentimages.storage.googleapis.com/3c/03/3d/d7a9886c2353a5/imgf0001.png
CN-202355997-U,CO2 absorption tower and low-temperature methanol washing equipment comprising same ,中国华能集团清洁能源技术研究院有限公司,"许世森, 郜时旺, 王保民",2011-12-07,2011-12-07,2012-08-01,2012-08-01,https://patents.google.com/patent/CN202355997U/en,https://patentimages.storage.googleapis.com/4c/61/f1/757032550ddd61/HDA0000117211050000011.png
CN-102580468-B,Method for implementing trapping and separation of CO2 in flue gas by adopting magnesium-based absorbent ,河南科技大学,"段永华, 张军, 卢伟伟, 时清亮, 宋帮才",2012-01-20,2012-01-20,2014-07-02,2014-07-02,https://patents.google.com/patent/CN102580468B/en,https://patentimages.storage.googleapis.com/ee/71/a4/78e787447747bf/120116122027.png
CN-102489148-B,Method and device for cyclic removal of CO2 from boiler flue gas with microwave calcined calcium-based absorbent ,山东大学,"李英杰, 韩奎华, 孙荣岳, 路春美",2011-11-23,2011-11-23,2013-09-18,2013-09-18,https://patents.google.com/patent/CN102489148B/en,https://patentimages.storage.googleapis.com/aa/81/ca/5586ab8aa8fb52/HDA0000111636800000011.png
FR-2915062-B1,USE OF CO2 ABSORPTION MEANS IN A CIGARETTE FILTER TO REDUCE THE INHALE CO2 RATE BY A SMOKER. ,Laurent Schwartz,Laurent Schwartz,2007-04-17,2007-04-17,2011-04-08,2011-04-08,https://patents.google.com/patent/FR2915062B1/en,
CN-203329609-U,Carbon disulfide solvent recovery unit in viscose fiber production ,"宜宾海丝特纤维有限责任公司, 宜宾丝丽雅股份有限公司, 宜宾丝丽雅集团有限公司","邓传东, 易家祥, 王兵, 夏崇胜, 赵红霞",2013-07-05,2013-07-05,2013-12-11,2013-12-11,https://patents.google.com/patent/CN203329609U/en,https://patentimages.storage.googleapis.com/74/f5/8a/c7762f8fd1febc/130705153038.png
CN-102269509-B,CO2 compression and liquefaction system combined with waste heat driven refrigeration ,华北电力大学,"段立强, 陈新明, 杨勇平",2011-07-14,2011-07-14,2013-10-09,2013-10-09,https://patents.google.com/patent/CN102269509B/en,https://patentimages.storage.googleapis.com/b7/1a/8c/5ebdd9503fa989/HDA0000075846630000011.png
KR-101645975-B1,CO2 capturing device with optimizing energy consumption ,한국에너지기술연구원,"박영철, 이창근, 조성호, 진경태, 선도원, 배달희, 박재현, 류호정, 문종호, 이승용, 이종섭, 민병무, 이동호, 주지봉",2015-07-02,2015-07-02,2016-08-05,2016-08-05,https://patents.google.com/patent/KR101645975B1/en,https://patentimages.storage.googleapis.com/59/9a/b1/ad76f89f47e377/112015064304096-pat00001.png
CN-101397261-B,Regeneration method of dimethylformamide as extracting solvent for cracking carbon 5 and use thereof ,"中国石油化工股份有限公司, 中国石油化工股份有限公司北京化工研究院","杜春鹏, 戴伟, 田保亮, 胡竞民, 冯海强",2007-09-24,2007-09-24,2011-11-30,2011-11-30,https://patents.google.com/patent/CN101397261B/en,https://patentimages.storage.googleapis.com/57/9b/00/5f90ed0f4c1366/S2007101222269E00011.png
CN-101450908-B,Fractional condensation and regeneration method of dimethylformamide as extracting solvent for cracking carbon 5 ,"中国石油化工股份有限公司, 中国石油化工股份有限公司北京化工研究院","杜春鹏, 田保亮, 冯海强, 唐国旗, 张齐, 胡競民, 戴伟",2007-12-07,2007-12-07,2011-11-30,2011-11-30,https://patents.google.com/patent/CN101450908B/en,
JP-4738434-B2,CO2 recovery device and CO2 absorbent regenerator ,"三菱重工業株式会社, 関西電力株式会社","裕士 田中, 徹 高品, 剛司 大石, 正樹 飯嶋, 富雄 三村, 靖幸 八木, 幸喜 小椋",2008-04-08,2008-04-08,2011-08-03,2011-08-03,https://patents.google.com/patent/JP4738434B2/en,https://patentimages.storage.googleapis.com/e8/3f/70/0a82c43b548231/0004738434-2.png
JP-6659293-B2,"CO2, H2S or Both Absorbing Solution and Apparatus and Method Using It ","三菱重工エンジニアリング株式会社, 関西電力株式会社","田中　裕士, 裕士 田中, 琢也 平田, 琢也 平田, 正實 近藤, 正實 近藤, 上條　孝, 孝 上條, 達也 辻内, 達也 辻内",2015-09-30,2015-09-30,2020-03-04,2020-03-04,https://patents.google.com/patent/JP6659293B2/en,
CN-201954916-U,CO2 separation and compression integrated device ,华北电力大学,"徐钢, 杨勇平, 刘彤, 田龙虎, 段立强",2010-12-20,2010-12-20,2011-08-31,2011-08-31,https://patents.google.com/patent/CN201954916U/en,
US-9802152-B2,System and methods for CO2 separation ,General Electric Company,"Tiffany Elizabeth Pinard Westendorf, Benjamin Rue Wood, Dan Hancu",2015-12-15,2015-12-15,2017-10-31,2017-10-31,https://patents.google.com/patent/US9802152B2/en,https://patentimages.storage.googleapis.com/b4/ef/02/faea406973c46f/US09802152-20171031-D00000.png
KR-101177608-B1,Method for absorbing CO2 in the emission gas and recycling Calcium Carbonate by utilizing eluate of coal ash in the anthracite-fired fluidized-bed power plant. ,김민중,김민중,2009-06-08,2009-06-08,2012-08-27,2012-08-27,https://patents.google.com/patent/KR101177608B1/en,https://patentimages.storage.googleapis.com/d8/6e/bf/6acd39065eda24/112009502234504-pat00019.png
ES-2478877-T3,Procedure to operate an IGCC power plant process with integrated CO2 separation ,Thyssenkrupp Uhde Gmbh,Johannes Menzel,2009-09-30,2010-09-17,2014-07-23,2014-07-23,https://patents.google.com/patent/ES2478877T3/en,
CA-2891185-C,"Systems, methods and devices for the capture and hydrogenation of carbon dioxide with thermochemical cu-cl and mg-cl-na/k-co2 cycles ","University Of Ontario Institute Of Technology, Greg Naterer, Zhaolin, (Forest) Wang","Greg Naterer, Zhaolin, (Forest) Wang",2012-11-09,2013-11-12,2021-11-09,2021-11-09,https://patents.google.com/patent/CA2891185C/en,
CN-204347000-U,Variable working condition thick slurry type carbon dioxide capture process testing device ,"华能国际电力股份有限公司, 中国华能集团清洁能源技术研究院有限公司","郭东方, 郜时旺, 王金意, 侯法柱, 刘练波",2014-12-25,2014-12-25,2015-05-20,2015-05-20,https://patents.google.com/patent/CN204347000U/en,
CN-100588457-C,Shaping method for super absorbent charcoal powder body for adsorbing CO2 ,华东理工大学,"詹亮, 邓洪贵, 霍素敏, 孙刚伟, 凌立成, 乔文明, 张睿, 梁晓怿",2008-06-05,2008-06-05,2010-02-10,2010-02-10,https://patents.google.com/patent/CN100588457C/en,
CN-103071373-B,Method for preparing high-activity CO2 absorbent with carbide slag ,山东大学,"李英杰, 孙荣岳, 刘长天, 路春美",2013-02-01,2013-02-01,2014-12-10,2014-12-10,https://patents.google.com/patent/CN103071373B/en,
CN-202370769-U,CO2 compression type solar energy cogeneration device ,榆林学院,"张俊霞, 李增生, 荆红莉, 赵鹏",2011-11-22,2011-11-22,2012-08-08,2012-08-08,https://patents.google.com/patent/CN202370769U/en,https://patentimages.storage.googleapis.com/20/7d/41/d247a7b8956e09/DEST_PATH_HSB00000823415800011.png
CA-2833983-C,Co2 capturing material and co2 separation and recovery device ,"Hitachi, Ltd., Kohei Yoshikawa, Hiroki Sato, Masato Kaneeda, Shuichi Kanno","Kohei Yoshikawa, Hiroki Sato, Masato Kaneeda, Shuichi Kanno",2012-12-10,2013-11-21,2016-03-22,2016-03-22,https://patents.google.com/patent/CA2833983C/en,
CA-2848447-C,Co2 capture for thermal in situ hydrocarbon recovery operations ,"Louis Fradette, Sylvie Fradette, Jonathan A. CARLEY, Co2 Solutions Inc., Saipem S.P.A.","Louis Fradette, Sylvie Fradette, Jonathan A. CARLEY",2014-04-07,2014-04-07,2022-11-29,2022-11-29,https://patents.google.com/patent/CA2848447C/en,
CN-201823475-U,Calcium-based CO2 absorbing and regenerating device ,绍兴文理学院,吴福儿,2010-10-28,2010-10-28,2011-05-11,2011-05-11,https://patents.google.com/patent/CN201823475U/en,
JP-5365427-B2,TOC meter and CO2 absorbent life evaluation method ,株式会社島津製作所,信寛 並河,2009-09-02,2009-09-02,2013-12-11,2013-12-11,https://patents.google.com/patent/JP5365427B2/en,https://patentimages.storage.googleapis.com/b4/26/14/d5fed3fcd8fa35/0005365427-2.png
KR-101868673-B1,Device for cooling CO2 inside CO2 temporary storage tank of carbon dioxide capture and storage ,한국해양과학기술원,"강관구, 백종화, 강성길, 조맹익",2015-12-30,2015-12-30,2018-06-18,2018-06-18,https://patents.google.com/patent/KR101868673B1/en,https://patentimages.storage.googleapis.com/7d/8e/ad/98a39e7fa23091/112015128624542-pat00001.png
FR-2941937-B1,PROCESS FOR PRODUCING HYDROGEN WITH TOTAL CO2 CAPTURE AND REDUCTION OF NON-CONVERTED METHANE ,Inst Francais Du Petrole,"Beatrice Fischer, Fabrice Giroudiere, Jean Louis Ambrosino",2009-02-09,2009-02-09,2011-08-19,2011-08-19,https://patents.google.com/patent/FR2941937B1/en,
KR-101147563-B1,Bio-catalyst immobilization method for increasing of CO2 capture efficiency ,한국에너지기술연구원,"정순관, 임경수, 이시훈, 김상도, 최호경, 임영준, 임정환, 유지호",2010-04-21,2010-04-21,2012-05-21,2012-05-21,https://patents.google.com/patent/KR101147563B1/en,https://patentimages.storage.googleapis.com/bf/cb/51/610dbb6d26f5c3/112010025407104-pat00002.png
CN-101237052-B,CO2 separator for a direct methanol fuel cell ,三星Sdi株式会社,"马西亚斯·布洛诺德, 索斯滕·包曼, 马可·古诺, 伊曼努尔·罗森菲尔德",2007-01-09,2008-01-08,2012-07-18,2012-07-18,https://patents.google.com/patent/CN101237052B/en,https://patentimages.storage.googleapis.com/2d/f5/2b/3cdc5e49c08689/S2008100017628E00011.png
KR-101866573-B1,Carbon dioxide(CO2) capture facility and method for thereof ,한국전력공사,"위영호, 류청걸, 이중범, 백점인, 엄태형",2012-09-27,2012-09-27,2018-06-14,2018-06-14,https://patents.google.com/patent/KR101866573B1/en,https://patentimages.storage.googleapis.com/eb/c1/43/71302f12809dd4/112012079121557-pat00001.png
US-9316123-B2,"Power generation system and processes thereof, including adsorbing heat exchangers for CO2 capture from fossil fuel consumption ",Georgia Tech Research Corporation,"Ryan Paul Lively, William John Koros, Ron Chance",2010-02-25,2011-02-25,2016-04-19,2016-04-19,https://patents.google.com/patent/US9316123B2/en,https://patentimages.storage.googleapis.com/01/bf/29/fd14c91f99944f/US09316123-20160419-D00000.png
CN-201648002-U,Absorber for CO2 in air ,"杨显铭, 吴蕊华","杨显铭, 陈咏文",2009-08-11,2009-08-11,2010-11-24,2010-11-24,https://patents.google.com/patent/CN201648002U/en,https://patentimages.storage.googleapis.com/fc/cc/87/f4b3942750a8e0/H200920307761620090811E000011.png
CN-202893154-U,Device for reducing energy consumption of smoke carbon dioxide (CO2) capturing system and improving recovery rate of CO2 ,"中国石油化工股份有限公司, 胜利油田胜利勘察设计研究院有限公司, 山东赛瑞石油科技发展有限公司","孙焕泉, 张煜, 王增林, 张建, 李清方, 纪国庆, 孙广领, 王翀, 刘海丽, 尚明华, 庞会中, 陆诗建",2013-01-08,2013-01-08,2013-04-24,2013-04-24,https://patents.google.com/patent/CN202893154U/en,https://patentimages.storage.googleapis.com/0e/07/b3/59cac1fd80b157/DEST_PATH_130108135741.png
US-9863281-B2,Carbon dioxide capture interface for power generation facilities ,Esko Olavi Polvi,Esko Olavi Polvi,2015-12-08,2015-12-08,2018-01-09,2018-01-09,https://patents.google.com/patent/US9863281B2/en,https://patentimages.storage.googleapis.com/70/ff/ef/2648e375419e64/US09863281-20180109-D00000.png
RU-2713178-C2,Method of producing melamine by separation and evolution of high-purity co2 and nh3 ,"Эуротекника Меламине, Люксембург, Цвайгнидерлассунг ин Иттиген","Маттиа БОГОТТО, Джузеппе МЕРЕЛЛИ, Роберто САНТУЧЧИ",2015-07-17,2016-05-24,2020-02-04,2020-02-04,https://patents.google.com/patent/RU2713178C2/en,https://patentimages.storage.googleapis.com/3f/37/89/584586f0e386c5/00000005.png
CN-200971863-Y,CO2 spherical expansion compressor ,马丽莉,王陆一,2006-09-15,2006-09-15,2007-11-07,2007-11-07,https://patents.google.com/patent/CN200971863Y/en,https://patentimages.storage.googleapis.com/42/ba/b0/b754a1a5d3a00d/Y20062007979900221.png
CN-201031676-Y,Boiler flue gas pressurization absorption CO2 gaseous state pouring well oil production device ,辽河石油勘探局,"张凤山, 张永春, 高远文",2007-03-30,2007-03-30,2008-03-05,2008-03-05,https://patents.google.com/patent/CN201031676Y/en,https://patentimages.storage.googleapis.com/c0/d0/2b/2b61877b257564/Y20072001143900071.png
AU-2013263735-B2,Improved carbon capture in fermentation ,"Lanzatech Nz, Inc.","Michael Charles Milner Cockrem, Christophe Collet, Richard Llewellyn Sydney Forster, Simon David Oakley, Sean Dennis Simpson",2007-10-28,2013-11-27,2016-05-12,2016-05-12,https://patents.google.com/patent/AU2013263735B2/en,
AU-2011272878-B2,Highly stable beta-class carbonic anhydrases useful in carbon capture systems ,"Codexis, Inc.","Oscar Alvizo, Mike Benoit, Scott Novick",2010-06-30,2011-06-30,2015-04-23,2015-04-23,https://patents.google.com/patent/AU2011272878B2/en,
EP-2590991-B1,Highly stable beta-class carbonic anhydrases useful in carbon capture systems ,"Codexis, Inc.","Oscar Alvizo, Mike Benoit, Scott Novick",2010-06-30,2011-06-30,2016-01-20,2016-01-20,https://patents.google.com/patent/EP2590991B1/en,
CA-2803952-C,Highly stable beta-class carbonic anhydrases useful in carbon capture systems ,"Codexis, Inc., Oscar Alvizo, Mike Benoit, Scott Novick","Oscar Alvizo, Mike Benoit, Scott Novick",2010-06-30,2011-06-30,2020-03-24,2020-03-24,https://patents.google.com/patent/CA2803952C/en,
US-8354261-B2,Highly stable β-class carbonic anhydrases useful in carbon capture systems ,"Codexis, Inc.","Oscar Alvizo, Mike Benoit, Irene Fusman, Jack Liang, Luan Nguyen, Scott Novick",2010-06-30,2011-06-30,2013-01-15,2013-01-15,https://patents.google.com/patent/US8354261B2/en,
CN-101766947-B,Composite absorber for catching CO2 gas of membrane contactor ,南京信息工程大学,"陆建刚, 陈敏东, 王让会, 张慧, 黎飞虎",2010-03-11,2010-03-11,2012-09-26,2012-09-26,https://patents.google.com/patent/CN101766947B/en,https://patentimages.storage.googleapis.com/12/11/d4/c0f835c82ba0b1/HSA00000046237800011.png
US-9272255-B2,Combustion device that produces hydrogen with the re-use of captured CO2 ,Alstom Technology Ltd,"Jean-Xavier Morin, Corinne Beal, Silvestre Suraniti",2005-04-01,2006-03-29,2016-03-01,2016-03-01,https://patents.google.com/patent/US9272255B2/en,https://patentimages.storage.googleapis.com/85/34/eb/0418a953a2ff75/US09272255-20160301-D00000.png
EP-1863735-B1,Combustion device that produces hydrogen with re-use of captured co2 ,General Electric Technology GmbH,"Jean-Xavier Morin, Corinne Beal, Silvestre Suraniti",2005-04-01,2006-03-29,2018-10-03,2018-10-03,https://patents.google.com/patent/EP1863735B1/en,https://patentimages.storage.googleapis.com/10/d5/61/5e305dac97815c/imgf0001.png
CN-202844854-U,CO2 collecting and absorbing reactor ,"中国石油化工股份有限公司, 胜利油田胜利勘察设计研究院有限公司, 山东赛瑞石油科技发展有限公司","孙焕泉, 张煜, 王增林, 张建, 李清方, 纪国庆, 孙广领, 王翀, 刘海丽, 尚明华, 陆诗建",2012-09-10,2012-09-10,2013-04-03,2013-04-03,https://patents.google.com/patent/CN202844854U/en,https://patentimages.storage.googleapis.com/d0/c3/2a/24dcbd28929568/120910161758.png
CA-2872593-C,"Complex amine absorbent, and device and method for removing one or both of co2 and h2s ","Mitsubishi Heavy Industries, Ltd., Hiroshi Tanaka, Hiromitsu Nagayasu, Takuya Hirata, Tsuyoshi Oishi, Takashi Kamijo, The Kansai Electric Power Co., Inc., Mitsubishi Heavy Industries Engineering, Ltd., Mhi Engineering, Ltd.","Hiroshi Tanaka, Hiromitsu Nagayasu, Takuya Hirata, Tsuyoshi Oishi, Takashi Kamijo",2012-05-11,2013-04-25,2017-12-12,2017-12-12,https://patents.google.com/patent/CA2872593C/en,
AU-2010300123-B2,Method for operating an IGCC power plant process having integrated CO2 separation ,Thyssenkrupp Uhde Gmbh,Johannes Menzel,2009-09-30,2010-09-17,2014-03-20,2014-03-20,https://patents.google.com/patent/AU2010300123B2/en,
EP-2485980-B1,Method for operating an igcc power plant process having integrated co2 separation ,ThyssenKrupp Uhde GmbH,Johannes Menzel,2009-09-30,2010-09-17,2014-04-09,2014-04-09,https://patents.google.com/patent/EP2485980B1/en,
US-8557715-B2,Marking CO2 laser-transparent materials by using absorption-material-assisted laser processing ,National Cheng Kung University,"Chen-Kuei Chung, Meng-Yu Wu, En-Jou Hsiao, Shih-Lung Lin",2006-07-07,2010-07-19,2013-10-15,2013-10-15,https://patents.google.com/patent/US8557715B2/en,https://patentimages.storage.googleapis.com/bc/9a/df/8996e4608e1688/US08557715-20131015-D00000.png
US-8420364-B2,Highly stable beta-class carbonic anhydrases useful in carbon capture systems ,"Codexis, Inc.","Oscar Alvizo, Mike Benoit, Scott Novick",2010-06-30,2011-06-30,2013-04-16,2013-04-16,https://patents.google.com/patent/US8420364B2/en,
RU-2686925-C1,"Liquid absorbent for co2 and/or n2s, as well as a device and a method using same ","Мицубиси Хеви Индастриз Энджиниринг, Лтд., Те Кансай Электрик Пауэр Ко., Инк.","Хироси ТАНАКА, Такуя ХИРАТА, Масами КОНДО, Такаси КАМИДЗЁ, Тацуя ЦУДЗИУТИ",2015-09-30,2016-09-23,2019-05-06,2019-05-06,https://patents.google.com/patent/RU2686925C1/en,https://patentimages.storage.googleapis.com/ba/42/55/76aaa325187703/00000010.png
AU-2016331718-B2,"Absorbent liquid for CO2 and/or H2S, and apparatus and method using same ","Mitsubishi Heavy Industries, Ltd., The Kansai Electric Power Co., Inc.","Takuya Hirata, Takashi Kamijo, Masami Kondo, Hiroshi Tanaka, Tatsuya Tsujiuchi",2015-09-30,2016-09-23,2019-08-22,2019-08-22,https://patents.google.com/patent/AU2016331718B2/en,
US-10857502-B2,"Absorbent liquid for CO2 and/or H2S, and apparatus and method using same ","Mitsubishi Heavy Industries Engineering, Ltd., The Kansai Electric Power Co., Inc.","Hiroshi Tanaka, Takuya Hirata, Masami Kondo, Takashi Kamijo, Tatsuya Tsujiuchi",2015-09-30,2016-09-23,2020-12-08,2020-12-08,https://patents.google.com/patent/US10857502B2/en,https://patentimages.storage.googleapis.com/9b/10/a0/54f10a286bd24c/US10857502-20201208-D00000.png
EP-3366364-B1,"Absorbent liquid for co2 and/or h2s, and apparatus and method using same ","Mitsubishi Heavy Industries Engineering, Ltd., The Kansai Electric Power Co., Inc.","Hiroshi Tanaka, Takuya Hirata, Masami Kondo, Takashi Kamijo, Tatsuya Tsujiuchi",2015-09-30,2016-09-23,2022-12-07,2022-12-07,https://patents.google.com/patent/EP3366364B1/en,https://patentimages.storage.googleapis.com/87/05/61/d360e2100dd6af/imgf0001.png
EP-3827893-B1,"Absorbent liquid for co2 and/or h2s, and apparatus and method using same ","Mitsubishi Heavy Industries, Ltd., The Kansai Electric Power Co., Inc.","Hiroshi Tanaka, Takuya Hirata, Masami Kondo, Takashi Kamijo, Tatsuya Tsujiuchi",2015-09-30,2016-09-23,2024-03-13,2024-03-13,https://patents.google.com/patent/EP3827893B1/en,https://patentimages.storage.googleapis.com/d2/94/01/7eba0954a3ea85/imgf0001.png
CN-204918597-U,System for with natural pond liquid and straw digest preparation amino acid and separation CO2 ,华中农业大学,"晏水平, 王文超, 贺清尧, 张衍林, 艾平, 王媛媛, 袁巧霞",2015-07-31,2015-07-31,2015-12-30,2015-12-30,https://patents.google.com/patent/CN204918597U/en,
CN-203764270-U,Device capable of preventing solvent volatilization and fast recovering palladium and carbon ,江苏恒安化工有限公司,张俊,2014-03-12,2014-03-12,2014-08-13,2014-08-13,https://patents.google.com/patent/CN203764270U/en,
DE-102011119327-B4,"Method for the reversible separation of CO2, use of the method and use of 3- (aminomethyl) -3,5,5-trimethylcyclohexanamine (IDA) for reversible CO2 absorption ",Hermann Büttner,"Hermann Büttner, Jürgen Müller, Sebastian Makran, Raphael Jonker, Sebastian Doedt, Tobias Bosse, Norbert Ebeling, Peter Dettmann",2011-11-25,2011-11-25,2013-11-07,2013-11-07,https://patents.google.com/patent/DE102011119327B4/en,https://patentimages.storage.googleapis.com/fd/72/b8/247fc9fcfb4981/00170001.png
KR-100912250-B1,Cyclone Expander Of CO2 Capture System using Dry-sorbent ,한국에너지기술연구원,"이창근, 진경태, 선도원, 조성호, 박재현, 배달희, 유호정, 박영철, 이승용",2007-11-09,2007-11-09,2009-08-14,2009-08-14,https://patents.google.com/patent/KR100912250B1/en,https://patentimages.storage.googleapis.com/3a/88/bd/417d9bc8f4dc82/112009026502356-pat00006.png
CN-102798247-B,Low-grade-energy drive CO2 absorption refrigeration system ,内蒙古科技大学,"何丽娟, 黄军, 李娜, 钟金山, 王丽芳",2012-08-08,2012-08-08,2015-07-22,2015-07-22,https://patents.google.com/patent/CN102798247B/en,
CN-201823477-U,Calcium-based CO2 absorption furnace ,绍兴文理学院,吴福儿,2010-10-28,2010-10-28,2011-05-11,2011-05-11,https://patents.google.com/patent/CN201823477U/en,https://patentimages.storage.googleapis.com/88/05/21/6b4d3806dd9078/HSA00000320851500011.png
US-9133076-B2,Integrated carbon capture and gas to liquids system ,Linc Energy Ltd,"Raj Iyer, Bipin Patel",2012-06-05,2013-06-04,2015-09-15,2015-09-15,https://patents.google.com/patent/US9133076B2/en,https://patentimages.storage.googleapis.com/bf/88/e5/b7326c3479a66b/US09133076-20150915-D00001.png
AU-2013271335-B2,Integrated carbon capture and gas to liquids system ,Linc Energy Ltd,"Raj Iyer, Bipin Patel",2012-06-05,2013-06-04,2017-03-02,2017-03-02,https://patents.google.com/patent/AU2013271335B2/en,
CN-202382515-U,Cryogenic carbon dioxide (CO2) and methane (H2) separation device ,杭州中泰深冷技术股份有限公司,苟文广,2011-12-08,2011-12-08,2012-08-15,2012-08-15,https://patents.google.com/patent/CN202382515U/en,
CA-3000612-C,"Absorbent liquid for co2 and/or h2s, and apparatus and method using same ","The Kansai Electric Power Co., Inc., Hiroshi Tanaka, Takuya Hirata, Masami Kondo, Takashi Kamijo, Tatsuya Tsujiuchi, Mitsubishi Heavy Industries Engineering, Ltd., Mhi Engineering, Ltd., Mitsubishi Heavy Industries, Ltd.","Hiroshi Tanaka, Takuya Hirata, Masami Kondo, Takashi Kamijo, Tatsuya Tsujiuchi",2015-09-30,2016-09-23,2020-11-03,2020-11-03,https://patents.google.com/patent/CA3000612C/en,
CN-102134572-B,Gene DTX5.1 and application of promoter thereof in controlling CO2 absorption and improving drought tolerance and photosynthetic efficiency of plants ,首都师范大学,"李乐攻, 方谷, 贾晶晶, 田望, 潘亚军, 张海纹, 侯聪聪",2010-01-26,2010-01-26,2013-04-03,2013-04-03,https://patents.google.com/patent/CN102134572B/en,https://patentimages.storage.googleapis.com/0e/d9/40/e6ea1f603cdd56/HSA00000008726800011.png
KR-101427803-B1,"Absorption equilibrium test apparatus of absorbent for remove of multi-component(co２, h２s) from syngas and method thereof ","두산중공업 주식회사, 한국에너지기술연구원","정형규, 유정석, 한근희, 민병무, 이종섭",2012-04-03,2012-04-03,2014-08-07,2014-08-07,https://patents.google.com/patent/KR101427803B1/en,https://patentimages.storage.googleapis.com/91/52/26/81535ebb11074f/112012026780628-pat00001.png
CN-202015574-U,Absorption reaction tower for CO2 (carbon dioxide) in coal gas ,胜利油田胜利勘察设计研究院有限公司,"张建, 李清方, 王�锋, 宫俊峰, 孔令先, 张新军, 宋辉, 刘炳成, 刘海丽, 张宁宁, 王运伟, 朱红彬",2010-07-15,2010-07-15,2011-10-26,2011-10-26,https://patents.google.com/patent/CN202015574U/en,https://patentimages.storage.googleapis.com/52/20/c3/dd5344f7de5853/HSA00000195945900011.png
KR-101038764-B1,Appraratus and method for solvent scrubbing co2 capture system ,한국전력공사,"이지현, 심재구, 김준한, 장경룡",2008-09-26,2008-09-26,2011-06-03,2011-06-03,https://patents.google.com/patent/KR101038764B1/en,https://patentimages.storage.googleapis.com/0c/11/72/be243fab7ce3df/112008067775475-pat00002.png
US-9458014-B2,Sytems and method for CO2 capture and H2 separation with three water-gas shift reactions and warm desulfurization ,General Electronic Company,"Thirumala Reddy Nagarjuna Reddy, Ashok Kumar Anand, Mahendhra Muthuramalingam",2012-12-28,2012-12-28,2016-10-04,2016-10-04,https://patents.google.com/patent/US9458014B2/en,https://patentimages.storage.googleapis.com/dc/d6/10/dd29d1a2e0e1bf/US09458014-20161004-D00000.png
ES-2480841-B1,"Optimized procedure for the preparation of calcium silicates with the capacity to capture CO2, silicates thus obtained and their use ","Universidad Se Sevilla, Instalaciones Inabensa S.A., Universidad De Cadiz","Isabel MORIÑA DÍAZ, Antonio Luís LÓPEZ FUENTES, Elisabet ESTEBAN PORTILLO, Víctor MORALES FLÓREZ, Luís ESQUIVIAS FEDRIANI, Emilio Galán Huertos, Alberto SANTOS SÁNCHEZ",2012-12-26,2012-12-26,2015-05-20,2015-05-20,https://patents.google.com/patent/ES2480841B1/en,
